id_case,country,authority,date,penalty_fee,subjet,subjet_industry,law,summary_law,summary_case,court_file
ETid-669,ICELAND,Icelandic data protection authority ('Persónuvernd'),2021-04-29,"23,100",InfoMentor ehf,Industry and Commerce,"Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,"The Icelandic DPA (Persónuvernd) has imposed a fine of EUR 23,100 on InfoMentor ehf. Previously, the controller had reported a data breach according to Art. 33 GDPR. The incident concerned the company's online system, which is mainly used by schools and other institutions for communication and information purposes. In the course of its investigations, the DPA determined that inadequate technical and organizational security measures on the part of the controller led to the breach. Due to a security leak that resulted in the six-digit system number of each user being visible in the URL address of a specific page within the mentor system, unauthorized persons gained access to the personal data of 424 children.",https://www.personuvernd.is/information-in-english/greinar/personal-data-breach-in-the-information-system-mentor-administrative-fine
ETid-670,SPAIN,Spanish Data Protection Authority (aepd),2021-05-04,"1,500,000","EDP Comercializadora, S.A.U.",Transportation and Energy,"Art. 13 GDPR, Art. 25 GDPR",Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has imposed a fine of EUR 1,500,000 on EDP Comercializadora, S.A.U.. The decision follows, in particular, several complaints received for processing personal data without consent. As the DPA found, the controller had failed to inform data subjects in accordance with Art. 13 GDPR when collecting their data. This involved data subjects not being informed of their rights under Art. 15 GDPR - Art. 22 GDPR, and the contact details of the controller (e.g. its address) being incomplete.  Besides, the company's business practice allowed it to conclude contracts with customer representatives instead of with the customers directly. In these cases, however, the data controller did not check whether there was actually an authorization to represent the data subjects. The DPA finds that the controller failed to implement a procedure to verify the authorization of the alleged representatives.The fine is composed proportionately of EUR 1,000,000 for a breach of Art. 13 GDPR and EUR 500,000 for a breach of Art. 25 GDPR.",https://www.aepd.es/es/documento/ps-00037-2020.pdf
ETid-671,SPAIN,Spanish Data Protection Authority (aepd),2021-05-04,"1,500,000","EDP Energía, S.A.U",Transportation and Energy,"Art. 13 GDPR, Art. 25 GDPR",Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has imposed a fine of EUR 1,500,000 on EDP Energía, S.A.U.. The decision follows, in particular, several complaints received for processing personal data without consent. As the DPA found, the controller had failed to inform data subjects in accordance with Art. 13 GDPR when collecting their data. This involved data subjects not being informed of their rights under Art. 15 GDPR - Art. 22 GDPR, and the contact details of the controller (e.g. its address) being incomplete.  Besides, the company's business practice allowed it to conclude contracts with customer representatives instead of with the customers directly. In these cases, however, the data controller did not check whether there was actually an authorization to represent the data subjects. The DPA finds that the controller failed to implement a procedure to verify the authorization of the alleged representatives.The fine is composed proportionately of EUR 1,000,000 for a breach of Art. 13 GDPR and EUR 500,000 for a breach of Art. 25 GDPR.",https://www.aepd.es/es/documento/ps-00236-2020.pdf
ETid-672,THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),2020-06-16,"7,500",PVV Overijssel,Public Sector and Education,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,"The Dutch DPA (AP) fined the Overijssel local branch of the PVV party EUR 7,500 for failing to notify the AP of a personal data breach, in violation of Art. 33 GDPR. An email regarding the convening of a meeting had been sent via an open distribution list due to a human error. Since the total of 101 recipients were addressed as 'Friends of the PVV' in the email, the political beliefs of the data subjects were thus disclosed to all addressees.",https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/boete_pvv_overijssel.pdf
ETid-673,SPAIN,Spanish Data Protection Authority (aepd),2021-05-12,"3,000",Solram T Y R S.L.,Industry and Commerce,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,000 on Solram T Y R S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him advertisements via WhatsApp, despite the fact that he had requested the deletion of his data.",https://www.aepd.es/es/documento/ps-00113-2021.pdf
ETid-674,ITALY,Italian Data Protection Authority (Garante),2021-03-25,"4,000",Comune di Castellanza,Public Sector and Education,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR",Insufficient legal basis for data processing,"The Italian DPA (Garante) has imposed a fine of EUR 4,000 on the municipality of Castellanza. The municipality had uploaded documents containing personal data of the data subject on its website, which were freely accessible. The documents concerned a legal proceeding of the data subject.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9584421
ETid-675,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-05-14,200,Website operator,Individuals and Private Associations,"Art. 5 (1) a), b), (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1), (2), (3) GDPR, Art. 32 (2) GDPR",Non-compliance with general data processing principles,"The Romanian DPA (ANSPDCP) has imposed a fine of EUR 200 on the operator of the website declaratieppr.ro. During the Covid19 pandemic, visitors to the site were able to fill out a form that was required to leave their place of residence. Personal data such as name, address and ID number were collected for this purpose. However, the controller was unable to prove that it was processing the data lawfully. In addition, the controller had not sufficiently informed the data subjects about the processing of the data when collecting their personal data and had not implemented sufficient technical and organizational measures to ensure the security of the data processing.",https://www.dataprotection.ro/?page=Comunicat_Presa_14_/_05_/_2021&lang=ro
ETid-676,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-05-13,"2,000",Telekom Romania Communications SA,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights,"The Romanian DPA (ANSPDCP) has imposed a fine of EUR 2,000 on Telekom Romania Communications SA. The controller had made an advertising call to the data subject although the latter had exercised his right to object to the processing of his personal data for marketing and advertising purposes by requesting the controller to delete his telephone number and e-mail address from the Telekom database.",https://www.dataprotection.ro/?page=Comunicat_Presa_13_/_05_/_2021&lang=ro
ETid-677,SPAIN,Spanish Data Protection Authority (aepd),2021-05-14,"30,000","Allianz Compañia de Seguros y Reaseguros, S.A.","Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has fined Allianz Compañia de Seguros y Reaseguros, S.A. EUR 30,000. The controller had sent an invoice to the data subject although no contractual relationship existed. The data subject had concluded a motorcycle insurance policy with the controller in 2016, but had terminated the policy in 2017.",https://www.aepd.es/es/documento/ps-00123-2021.pdf
ETid-678,THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),2020-12-20,"525,000",Locatefamily.com,"Media, Telecoms and Broadcasting",Art. 27 GDPR,Non-compliance with general data processing principles,"The Dutch DPA (AP) has imposed a fine of EUR 525,000 on Locatefamily.com. Locatefamily.com is a platform where people can search for the contact information of family members they have lost contact with or other people they would like to get in touch with. The data subjects complained that their contact information (name, address, phone number) was published on the website without their knowledge. The data subjects were not able to request the deletion of their data published on the site easily, because Locatefamily.com did not have any representation in the European Union. Organizations offering goods or services in the EU must have a representative to whom EU citizens can turn to obtain information or exercise their data protection rights. Accordingly, the Dutch data protection authority found a breach of Art. 27 GDPR.",https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/20210512_boetebesluit_ap_locatefamily.pdf
ETid-679,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2021-03-25,"1,425",Operator of a care facility,Health Care,"Art. 5 (1) a), b), c) GDPR, Art. 6 GDPR, Art. 13 (1), (2) GDPR",Insufficient legal basis for data processing,"The Hungarian DPA (NAIH) has imposed a fine of EUR 1,425 on the operator of a care facility. The operator had installed a total of 25 cameras in all rooms of the facility, with the exception of the restrooms, locker rooms and the main nurses' station. Both the residents of the facility and the employees were recorded by the video surveillance. The controller states that the cameras were installed for security purposes. These included preventing unauthorized persons from gaining access to the facility and deterring theft. The DPA states that such extensive video surveillance was not necessary for the processing purpose (security of the facility). Furthermore, the controller did not sufficiently inform the data subjects about the data processing.",https://naih.hu//hatarozatok-vegzesek?download=380:kamerak-uzemeltetese-idosek-otthonaban
ETid-680,GREECE,Hellenic Data Protection Authority (HDPA),2021-05-12,"5,000",A. ΕΠΙΛΟΓΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Not assigned,"Art. 5 (1) a), b) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,"The Hellenic DPA has fined A. ΕΠΙΛΟΓΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ EUR 5,000. The controller had not responded to requests for information and deletion from the data subject. During the DPA´s investigation, the controller informed the DPA that it had deleted the data of the data subject. However, the data subject had not been informed of this. Furthermore, the DPA determined that the data subject's data had been collected for a purpose other than the agreed purpose. A corresponding consent of the data subject for this new processing purpose had not been obtained.",https://www.dpa.gr/sites/default/files/2021-05/17_2021anonym.pdf
ETid-681,POLAND,Polish Data Protection Authority (UODO),2021-04-22,"245,000",Cyfrowy Polsat S.A.,"Media, Telecoms and Broadcasting","Art. 24 (1) GDPR, Art. 32 (1), (2) GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,"The Polish DPA (UODO) has fined Cyfrowy Polsat S.A. EUR 245,000. The fine was based on a large number of data breaches reported by the controller to the DPA. Frequently, postal correspondence containing personal data was lost or delivered to the wrong recipient. The DPA notes that although the data breaches were caused by the courier company contracted by the controller, the controller had to ensure that such breaches did not occur. The controller failed to implement technical and organizational measures appropriate to the risk to protect the processing of the data. Furthermore, the controller did not notify the data subjects about the data breaches until two to three months later.",https://www.uodo.gov.pl/decyzje/DKN.5130.3114.2020
ETid-682,ITALY,Italian Data Protection Authority (Garante),2021-04-15,"2,000",Società triveneta di chirurgia,Health Care,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The Italian DPA (Garante) has imposed a fine of EUR 2,000 on Società triveneta di chirurgia. A physician had shown slides of a clinical case at a congress, which were subsequently published on the controller's website. The slides contained personal data of a patient, such as the patient's initials, age, gender, a detailed history of the pathology suffered by the patient, details of admissions from 1980 to 2016 and the surgical procedures performed during this period, indicating the date of admission and surgery, the surgical department that performed the procedures, the days spent in hospital, numerous diagnostic images, and 22 photographs showing the patient during the surgeries. At no time had the data subject consented to such processing of his personal data.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9567489
ETid-683,ITALY,Italian Data Protection Authority (Garante),2021-04-15,"5,000",Physician,Health Care,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The Italian DPA (Garante) has imposed a fine of EUR 5,000 on a physician. The controller had shown slides of a clinical case at a congress, which were subsequently published on the website of the Società triveneta di chirurgia. The slides contained personal data of a patient, such as the patient's initials, age, gender, a detailed medical history of the patient, details of admissions from 1980 to 2016 and surgical procedures performed during that period, indicating the date of admission and the date of surgery, the surgical department that performed the procedures, the days spent in hospital, numerous diagnostic images and 22 photographs showing the patient during the surgeries. At no time had the data subject consented to such processing of his or her personal data.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9587637
ETid-684,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-05-19,500,Owners Association of Iasi Municipality,Individuals and Private Associations,"Art. 58 (1) a), e) GDPR",Insufficient cooperation with supervisory authority,The Romanian DPA (ANSPDCP) has imposed a fine of EUR 500 on Asociație de Proprietari din municipiul Iași (Owners Association of Iasi Municipality). The controller did not provide the DPA with the information it had requested.,https://www.dataprotection.ro/?page=Comunicat_Presa_19_/_05_/_2021_1&lang=ro
ETid-685,ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-05-19,"2,000",Banca Comercială Română S.A.,"Finance, Insurance and Consulting","Art. 5 (1) a), d), (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Romanian DPA (ANSPDCP) has fined Banca Comercială Română S.A. EUR 2,000. A data subject had initiated a complaint with the DPA because the controller had used his personal data in the context of an enforcement procedure for debts arising from a credit agreement of which he was unaware.",https://www.dataprotection.ro/?page=Comunicat_Presa_19_05_2021_2&lang=ro
ETid-686,ITALY,Italian Data Protection Authority (Garante),2021-04-15,"40,000",Comune di Palermo,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The Italian DPA (Garante) has imposed a fine of EUR 40,000 on the municipality of Palermo. A data subject had filed a complaint with the Italian DPA against the municipality of Palermo. His complaint was based on the fact that his personal data from a food subsidy application he had submitted had been acquired by an unauthorized person and processed for his own purposes. As the DPA determined in the course of its investigations, such processing had occurred because the municipality had not implemented adequate technical and organizational measures to ensure the security and confidentiality of the processing.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9587053
ETid-687,THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),2020-03-24,"15,000",CP&A,Employment,"Art. 9 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The Dutch DPA (AP) has imposed a fine of EUR 15,000 on CP&A.
The controller had documented both the causes of illness and specific complaints of the data subjects as part of the recording of employee absences due to illness. The DPA found that this was unlawful since health data is granted special protection. Employers are not permitted to record either the reasons or causes of sick leave. 
Furthermore, the DPA found that the controller had not implemented adequate technical and organizational measures to protect the processing when recording absences. Namely, the absence registration was accessible online, without any form of authentication. Yet, when an absence system is accessible via the Internet, the system is to be accessed only through a multi-factor authentication. In the DPA's view, another form of authentication would have been required in addition to the 'normal' login.",https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/boete_cpa_verzuimregistratie.pdf
ETid-688,NORWAY,Norwegian Supervisory Authority (Datatilsynet),2021-05-20,"39,000",Municipality of Oslo,Public Sector and Education,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Norwegian DPA (Datatilsynet) has imposed a fine of EUR 39,000 on the Municipality of Oslo. On a website of the controller a subpoena from the public prosecutor's office concerning the data subject had been published. The subpoena contained, among other things, personal information such as health data. The incident occurred because the subpoena was not originally classified as confidential and accordingly was not exempted from public disclosure. The document was publicly available for five hours before it was removed.",https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/overtredelsesgebyr-til-oslo-kommune/
ETid-689,IRELAND,Data Protection Authority of Ireland,2021-03-23,"90,000",Irish Credit Bureau DAC,"Finance, Insurance and Consulting","Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR",Insufficient technical and organisational measures to ensure information security,"The Irish DPA (DPC) has imposed a fine of EUR 90,000 on Irish Credit Bureau (ICB). The fine follows a data breach reported by the controller to the DPA on August 31, 2018. The controller is a credit reporting agency that maintains a database of credit contract performance between financial institutions and borrowers. The data breach occurred when the controller made a code change to its database that contained a technical error. As a result, between June 28, 2018 and August 30, 2018, the ICB database inaccurately updated the records of 15,120 closed accounts. The controller disclosed 1,062 inaccurate account records to financial institutions or affected individuals before the issue was resolved.",https://www.dataprotection.ie/sites/default/files/uploads/2021-05/Redacted_23.03.2021_Decision_IN-19-7-2.pdf
ETid-690,SPAIN,Spanish Data Protection Authority (aepd),2021-05-21,"3,000",Physician,Health Care,Art. 6 GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has fined a physician EUR 3,000. The controller had left his/her former clinic and started working in a new clinic. The complainant had taken over the controller's former clinic. The purchase agreement explicitly stated that the selling party (the controller) was not allowed to make a copy of the patient's files under any circumstances. Nevertheless, the controller had informed his/her former patients that his/her services could be obtained at his/her new clinic in the future. The AEPD found that the controller had acted not only in breach of contract but also in breach of data protection legislation by contacting the former patients.",https://www.aepd.es/es/documento/ps-00066-2021.pdf
ETid-691,SPAIN,Spanish Data Protection Authority (aepd),2021-05-25,900,Managing Director of a company,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,"The Spanish DPA (AEPD) has imposed a fine of EUR 1,500 on the managing director of a company. A data subject filed a complaint with the AEPD against the controller with whom he had entered into a contract. The fine is based on the fact that the controller had not properly informed the data subject about the processing of his data when collecting it. The AEPD considers this to be a violation of Art. 13 GDPR. The original fine of EUR 1,500 was reduced to EUR 900 due to immediate payment and admission of guilt.",https://www.aepd.es/es/documento/ps-00036-2021.pdf
ETid-692,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2021-04-27,"1,400",Company,Industry and Commerce,"Art. 5 (1), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,"The Hungarian DPA (NAIH) has imposed a fine of EUR 1,400 on a company. In the course of his professional activities, a data subject had made a telephone call to the controller on September 23, 2019. The controller had recorded the conversation without informing the data subject or obtaining his consent and then provided it to the company where the data subject was employed. The employer of the data subject subsequently terminated his employment because the recorded telephone call apparently did not meet the company's service and professional standards. The DPA finds that the controller not only processed the data subject's data without a legal basis, but also breached its accountability obligation by failing to demonstrate the lawfulness of the processing. In addition, the controller violated its duty to provide information under Art. 13 GDPR.",https://naih.hu//hatarozatok-vegzesek?download=381:diszpecseri-munkakort-betolto-munkavallaloval-folytatott-telefonhivas-rogzitese
ETid-693,HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2021-04-27,570,Company,Industry and Commerce,"Art. 5 (1) a), (2) GDPR, Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,"The Hungarian DPA (NAIH) has imposed a fine of EUR 570 on a company. In the course of his professional activities, a data subject had made a telephone call to a company on September 23, 2019. The company had recorded the conversation without informing the data subject or obtaining his consent, and subsequently made it available to the company where the data subject was employed (the controller). The controller then terminated the employment relationship because the recorded telephone conversation apparently did not meet the controller's service and professional standards. The DPA finds that the controller not only processed the data subject's data without a legal basis, but also breached its accountability obligations by failing to demonstrate the lawfulness of the processing. In addition, the controller violated its obligation to provide information pursuant to Art. 13 GDPR.",https://naih.hu//hatarozatok-vegzesek?download=381:diszpecseri-munkakort-betolto-munkavallaloval-folytatott-telefonhivas-rogzitese
ETid-694,SPAIN,Spanish Data Protection Authority (aepd),2021-05-25,"100,000","Vodafone España, SAU","Media, Telecoms and Broadcasting",Art. 28 GDPR,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has imposed a fine of EUR 100,000 on Vodafone España, S.A.U.. A data subject had filed a complaint with the Spanish DPA against the telecommunications company. According to the complaint, the data subject had received an advertising call from a company, which was made on behalf of Vodafone España, S.A.U., although the data subject was registered in the Robinson advertising exclusion list. According to Vodafone's commissioned processor, the advertising call to the data subject had occurred due to an error in the call number filtering system. In the course of its investigation, the DPA found that Vodafone had not established any measures to avoid advertising calls to numbers on the Robinson list. In the present case, Vodafone had not even been aware that the number of the data subject was on the Robinson list, which meant that it was not blocked for the commissioned company.",https://www.aepd.es/es/documento/ps-00030-2021.pdf
ETid-695,SPAIN,Spanish Data Protection Authority (aepd),2021-05-25,"4,000","Alava Norte, S.L.",Industry and Commerce,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has fined Alava Norte, S.L. EUR 4,000. The controller had installed three 360° video surveillance cameras on the facade of one of its buildings to secure the facility. These also captured parts of the public space. The AEPD considered this to be a violation of the principle of data minimization, as such extensive video surveillance was not necessary to fulfill the purpose of the processing (security of the facility).",https://www.aepd.es/es/documento/ps-00378-2020.pdf
ETid-696,SPAIN,Spanish Data Protection Authority (aepd),2021-05-25,"6,000","Desolasol Restauración, S.L.",Accomodation and Hospitalty,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has fined Desolasol Restauración S.L. EUR 6,000. The data subject had submitted a consumer complaint form to the restaurant because he was unable to converse at the table due to the volume of the music. A copy of the form remained with the controller. Due to an error by a restaurant employee, the copies of the form were given to other guests of the restaurant who were present during the incident.",https://www.aepd.es/es/documento/ps-00316-2020.pdf
ETid-697,SPAIN,Spanish Data Protection Authority (aepd),2021-05-26,"3,000","Vodafone España, S.A.U.","Media, Telecoms and Broadcasting",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,"Failure to provide information to the Spanish DPA (AEPD) within the required timeframe in violation of Art. 58 GDPR. The original fine of EUR 5,000 was reduced by 20% EUR 3,000 due to immediate payment and admission of guilt.",https://www.aepd.es/es/documento/ps-00155-2021.pdf
ETid-698,ITALY,Italian Data Protection Authority (Garante),2021-03-25,"7,000",TECNOMEDICAL S.r.l.,Health Care,"Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"The Italian DPA (Garante) has imposed a fine of EUR 7,000 on TECNOMEDICAL S.r.l.. A data subject filed a complaint with the DPA after the controller failed to properly respond to his request for information. The data subject had requested access to his personal data. For this purpose, he demanded a copy of his medical records and the medical documentation of his dental implant surgery that had taken place. However, the controller did not provide the information in due time and in its entirety.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9590711
ETid-699,GREECE,Hellenic Data Protection Authority (HDPA),2021-05-17,"10,000",Municipal Organization for Pre-School Education and Social Solidarity (DOPAKA) of the municipality of Tavros Moschato,Individuals and Private Associations,"Art. 6 (1) c) GDPR, Art. 12 (3), (4) GDPR, Art. 17 (1) d) GDPR",Insufficient legal basis for data processing,"The Hellenic DPA has fined the Municipal Organization for Pre-School Education and Social Solidarity (DOPAKA) of the municipality of Tavros Moschato EUR 10,000. The controller had published documents containing personal data of the data subject without legal basis. The documents contained, besides his name, information about his profession, his place of work and an evaluation of his behavior. The controller also failed to respond to a subsequent deletion request from the data subject.The fine is composed proportionately of EUR 7,000 for a violation of Art. 6 (1) c) GDPR and EUR 3,000 for a violation of Art. 12 (3), (4) GDPR and Art. 17 (1) d) GDPR.",https://www.dpa.gr/sites/default/files/2021-05/21_2021anonym.pdf
ETid-700,NORWAY,Norwegian Supervisory Authority (Datatilsynet),2021-05-18,"95,500",Innovasjon Norge,"Finance, Insurance and Consulting","Art. 5 (1) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,"The Norwegian DPA (Datatilsynet) fined the national development bank Innovasjon Norge NOK 1,000,000 (EUR 95,500). The controller had carried out several credit checks on the data subject without any contractual basis for doing so. For this purpose, the bank had analyzed numerous financial data of the data subject without the data subject's consent.",https://www.datatilsynet.no/contentassets/ecc60fae5be740da81468d4eb23c43a3/vedtak-om-overtredelsesgebyr-til-innovasjon-norge.pdf
ETid-701,SPAIN,Spanish Data Protection Authority (aepd),2021-05-27,"2,000",Private Individual,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) imposed a fine of EUR 2,000 on a private individual for the unauthorized use of video surveillance cameras, which also recorded parts of public space without legitimate reason, and the online publication of these recordings.",https://www.aepd.es/es/documento/ps-00401-2020.pdf
ETid-702,SPAIN,Spanish Data Protection Authority (aepd),2021-05-21,"3,000",Homeowners Association,Real Estate,"Art. 5 (1) c) GDPR, Art. 12 GDPR",Non-compliance with general data processing principles,"Video surveillance of public space and thus violation of the principle of data minimization. Furthermore: Violation of information obligations, as insufficient information has been provided about video surveillance.",https://www.aepd.es/es/documento/ps-00156-2020.pdf
ETid-703,GREECE,Hellenic Data Protection Authority (HDPA),2021-05-12,"5,000",KARIERA A.E.,Industry and Commerce,"Art. 17 GDPR, Art. 21 GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,"The Hellenic DPA has imposed a fine of EUR 5,000 on ΚARIERA A.E.. A data subject had filed a complaint with the DPA against the controller due to the fact that the controller continued to send him e-mail advertisements even though he had requested the deletion of his data and the controller had confirmed the deletion. Due to a technical error, the data subject's data had not been deleted.",https://www.dpa.gr/sites/default/files/2021-05/20_2021anonym.pdf
ETid-704,ITALY,Italian Data Protection Authority (Garante),2021-04-21,"15,000",Fondazione Policlinico Tor Vergata di Roma,Health Care,"Art. 5 (1) a), f) GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,"The Italian DPA (Garante) has imposed a fine of EUR 15,000 on Fondazione Policlinico Tor Vergata di Roma. In February 2020, a data subject filed a complaint with Garante alleging a breach of data protection laws in relation to the booking services for medical specialists offered by the controller. In order to book a relevant appointment on the booking portal, visitors had to fill out an online form in which various personal data was requested. As the DPA found, the controller had not implemented adequate technical and organizational measures to ensure the protection of data processing. In addition, the controller did not comply with its information obligations pursuant to Art. 13 GDPR, as it had not properly informed the data subjects about the processing of their personal data at the time of the data collection.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9591223
ETid-705,SPAIN,Spanish Data Protection Authority (aepd),2021-05-21,"45,000","Telefónica de España, S.A.U","Media, Telecoms and Broadcasting",Art. 6 GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 75,000 on Telefonica de España, S.A.U.. A data subject had filed a complaint with the AEPD against the telecommunications company. 
The controller had booked a service for the data subject without the data subject having concluded a contract for it. After the data subject had accordingly not made any payments for this service, the service was canceled in the same year and a collection agency was commissioned to collect allegedly outstanding debts. The AEPD determined that neither the data processing for the service booking nor the transfer of the data subject's personal data to the collection agency had taken place lawfully. The original fine of EUR 75,000 was reduced to EUR 45,000 due to immediate payment and admission of responsibility.",https://www.aepd.es/es/documento/ps-00135-2021.pdf
ETid-706,SPAIN,Spanish Data Protection Authority (aepd),2021-06-02,"4,000","Avalos Consultores, S.L.","Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 4,000 on Avalos Consultores, S.L.. The data subject, who was a client of the controller, filed a complaint with the AEPD because the controller had transferred her personal data to the agency Torrent Asesores Nga, S.L. without her consent.",https://www.aepd.es/es/documento/ps-00116-2021.pdf
ETid-707,ITALY,Italian Data Protection Authority (Garante),2021-04-15,"12,000",Istituto Nazionale Previdenza Sociale (INPS),Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"The Italian DPA (Garante) has imposed a fine of EUR 12,000 on the Italian National Institute for Social Security (Istituto Nazionale della Previdenza Sociale). That fine was based on the fact that the controller failed to respond properly to two requests for information that the data subject had submitted to the controller. The requests were related to the disclosure of personal data of the data subject to third parties. Initially, the data subject had received no response to either request. In the course of the investigation, the controller then provided him with information and explained that the previous requests had not been answered due to a technical error in its e-mail system",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9592133
ETid-708,SPAIN,Spanish Data Protection Authority (aepd),2021-06-04,"6,000",Creator Energy S.L.,Transportation and Energy,Art. 6 (1) b) GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 6,000 on Creator Energy S.L.. The controller had used the personal data of the data subject without his consent to conclude contracts for gas and electricity supplies and a maintenance service.",https://www.aepd.es/es/documento/ps-00126-2021.pdf
ETid-709,SPAIN,Spanish Data Protection Authority (aepd),2021-06-07,"20,000",Master Distancia S.A.,Public Sector and Education,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 25,000 on Master Distancia S.A.. The controller had included personal data of the data subject in a credit report register without sufficient legal basis. The controller justified this with alleged debts the data subject had with the controller. In fact, however, the parties were still in arbitration. Accordingly, the controller had no authorization to include the data subject's data in the register. The original fine of EUR 25,000 was reduced to EUR 20,000 due to immediate payment.",https://www.aepd.es/es/documento/ps-00140-2021.pdf
